id;room_id;name;log_price;log_sqm;num_rooms;num_bathrooms;price_per_sqm;sqm_per_room;rooms_per_sqm;baths_per_room;discount_pct;price_relative_to_type;price_relative_to_province;has_stars;pool_flag;beach_flag;breakfast;cancellation;property_type_Agroturismo;property_type_Albergue;property_type_Apartahotel;property_type_Apartamento;property_type_Barco;property_type_Bed and breakfast;property_type_Camping;property_type_Camping resort;property_type_Casa o chalet;property_type_Casa rural;property_type_Chalet de montaña;property_type_Habitación en casa particular;property_type_Hostal o pensión;property_type_Hotel;property_type_Lodge;property_type_Resort;property_type_Villa;region_Andalucía;region_Aragón;region_Canary Islands;region_Cantabria;region_Castilla y León;region_Castilla-La Mancha;region_Cataluña;region_Comunidad Foral de Navarra;region_Comunidad Valenciana;region_Comunidad de Madrid;region_Extremadura;region_Galicia;region_Islas Baleares;region_La Rioja;region_Melilla;region_País Vasco;region_Principado de Asturias;region_Región de Murcia
10029913;1002991303;CoLiving Villa Brasil;-0.6689634403811268;0.5948212592012702;-0.5;-1.0;-0.6178892813789586;2.1052631578947367;-0.7200000000000001;-0.6666666666666666;1.2706715277397092;-0.12252021649278495;-0.4583420595307812;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10032611;1003261101;Selecta Patricio Saenz;-0.6035961894046885;0.2142379052136632;0.5;1.0;-0.48240427105737754;-0.5263157894736842;0.48;0.33333333333333337;1.22824113298183;-0.4365841896443987;-0.03938451913457786;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10032807;1003280701;Super Loft Plazamar Torre del Mar 2 Huésped Playa;0.2616137793913651;-0.2550554798468065;0.0;0.0;0.6274345687388767;0.10526315789473684;0.1371428571428571;0.33333333333333337;2.119498028094646;0.3667938340576517;-0.359009788099327;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10035091;1003509101;"Cueva rural "" Old London "" with Jacuzzi and swimming pool";-0.8803588351958076;0.2142379052136632;0.0;0.0;-0.5939070997442162;1.0526315789473684;-0.12000000000000002;0.33333333333333337;0.8471012961329655;-0.6649038026376336;-0.7321648142814982;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1003512;100351201;Casa Cristina;1.4466102789622506;1.9719200590637969;1.5;1.0;0.036559332011003365;0.8552631578947368;-0.08000000000000002;-0.16666666666666663;0.0;0.00033033667170684014;2.6386691909909454;0.0;1.0;0.0;0.0;-1.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10037808;1003780801;Apartamento a 500m de la Judería con Parking;-0.6502138452085324;0.09945951408474529;0.5;0.0;-0.46406376961550627;-0.6578947368421053;0.589090909090909;-0.16666666666666663;0.0;-0.4629730356916195;0.024103307302363274;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10037923;1003792301;La Casa de Gigantones by Toledo AP;-0.6966136295309326;0.050650889148426775;0.0;0.0;-0.46884634274999726;0.6842105263157895;-0.040754716981132116;0.33333333333333337;4.2823623931883645;-0.4880267618928329;-0.5496496062996231;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10039016;1003901601;Villa Casa Veronica Top Views Heated Pool;1.7787465404510763;2.3520634559034588;2.0;3.0;0.08956396544050663;1.0421052631578946;-0.11799331103678934;0.13333333333333341;0.0;0.4042375676155806;4.167957388452524;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10039147;1003914702;Cortijo Vallehermoso Campillos by Ruralidays;2.5852794081325827;2.356529647272275;4.5;-1.0;1.3837296526969327;-0.5263157894736842;0.48;-0.6666666666666666;0.0;10.548312838589036;11.475649060857348;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10040189;1004018901;3 Bedroom Semi Detached Villa with Stunning Views!;1.1817298061720984;0.3199688758869288;1.0;1.0;1.6374144859146171;-0.9649122807017543;0.9415384615384617;0.0;0.0;2.490848134523867;1.5487072399420485;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
