id;room_id;name;log_price;log_sqm;num_rooms;num_bathrooms;price_per_sqm;sqm_per_room;rooms_per_sqm;baths_per_room;discount_pct;price_relative_to_type;price_relative_to_province;has_stars;pool_flag;beach_flag;breakfast;cancellation;property_type_Agroturismo;property_type_Albergue;property_type_Apartahotel;property_type_Apartamento;property_type_Barco;property_type_Bed and breakfast;property_type_Camping;property_type_Camping resort;property_type_Casa o chalet;property_type_Casa rural;property_type_Chalet de montaña;property_type_Habitación en casa particular;property_type_Hostal o pensión;property_type_Hotel;property_type_Lodge;property_type_Love hotel;property_type_Posada u hostería;property_type_Resort;property_type_Villa;region_ ;region_Andalucía;region_Aragón;region_Canary Islands;region_Cantabria;region_Castilla y León;region_Castilla-La Mancha;region_Cataluña;region_Ceuta;region_Comunidad Foral de Navarra;region_Comunidad Valenciana;region_Comunidad de Madrid;region_Extremadura;region_Galicia;region_Islas Baleares;region_La Rioja;region_Melilla;region_País Vasco;region_Principado de Asturias;region_Región de Murcia
10657431;1065743101;APARTAMENTO BERROCALA;-0.7753555247123755;0.14664885739889683;0.5;0.0;-0.648422224726822;-0.3611111111111111;0.344776119402985;-0.24999999999999992;0.0;-0.6035592237300055;-0.2622746330963402;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10657448;1065744801;Malibu Park Apartments Sol;-0.0029022516127091393;-0.16454359264039267;0.0;0.0;0.1330943701891319;0.7222222222222222;-0.039622641509434;0.5;0.0;0.0044954917240387;0.5689591980580008;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10657571;1065757101;Apartamento Chanteiro I;-0.09997314899337263;0.20492857591956204;0.5;0.0;-0.266478323257304;-0.2777777777777778;0.3;-0.24999999999999992;0.0;-0.09591356660117378;-0.037398950295763005;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
10657730;1065773001;Top groups MALASAÑA, by MONARO;1.487338491479065;1.0317886297210164;1.5;2.0;0.7581476618671498;-0.4166666666666667;0.37692307692307697;0.12500000000000003;0.23273141201428055;3.274781575332396;5.125780712993235;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10657770;1065777002;AlmeriaSuite Beach&Sun;0.13103179989830288;0.021950681155572246;0.5;0.0;0.10065790044673964;-0.5277777777777778;0.4475409836065574;-0.24999999999999992;0.0;0.15758773784773872;0.058069294234140305;0.0;0.0;1.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10657860;1065786001;Malagueta 1 línea de playa;0.8739598975819763;-0.24170385875071157;0.0;0.0;1.7897679747616662;0.5555555555555556;0.0;0.5;0.0;1.417658284184658;0.7988439318224894;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10657972;1065797201;Ganbara;-0.07022355542275188;-0.11544955882259514;0.5;0.0;0.013674783650839645;-0.6944444444444444;0.5727272727272726;-0.24999999999999992;0.25;-0.06602936153838346;-0.6227495208311052;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
10658135;1065813501;Hostal Altea Karma;0.19157551678190324;-0.5363324550022851;-0.5;-1.0;0.8792932631429169;0.0;-0.7000000000000001;-0.9999999999999999;0.0;1.3597306211360778;-0.2229680556140593;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10658200;1065820001;Gigantes View Studio;-0.38832834268056043;-0.3809960922370063;0.0;0.0;-0.07164699121444301;0.2777777777777778;0.07777777777777779;0.5;0.0;-0.3490875010415737;-0.021071117684063;0.0;0.0;1.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10658294;1065829401;Villa Nadimar - Casa rural con terraza magnífica y 4 habitaciones;0.030933767724251302;0.6807012877236849;1.5;1.0;-0.4645637562541091;-0.8333333333333334;0.7000000000000001;-0.24999999999999992;0.4967468665044342;-0.24015630814781047;-0.07217910936996595;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
