-16.72388932;28.07899358;0.00625;64;España
-16.71763932;28.06024358;0.025;47;España
-16.74263932;28.08524358;0.00625;10;España
-16.73638932;28.08524358;0.00625;91;España
-16.74263932;28.09149358;0.00625;43;España
-16.73638932;28.09149358;0.00625;37;España
-16.73013932;28.08524358;0.00625;64;España
-16.72388932;28.08524358;0.00625;33;España
-16.73013932;28.09149358;0.00625;27;España
-16.72388932;28.09149358;0.00625;16;España
-16.74263932;28.09774358;0.0125;3;España
-16.73013932;28.09774358;0.0125;2;España
-16.71763932;28.08524358;0.025;30;España
-16.69263932;28.06024358;0.05;81;España
-16.64263932;28.01024358;0.025;40;España
-16.61763932;28.01024358;0.0125;17;España
-16.61763932;28.02274358;0.00625;20;España
-16.61138932;28.02274358;0.00625;47;España
-16.61763932;28.02899358;0.00625;12;España
-16.61138932;28.02899358;0.00625;25;España
-16.60513932;28.02274358;0.0125;41;España
-16.64263932;28.03524358;0.025;10;España
-16.61763932;28.03524358;0.025;35;España
-16.59263932;28.01024358;0.025;29;España
-16.56451432;28.02899358;0.003125;18;España
-16.56763932;28.03211858;0.003125;21;España
-16.56451432;28.03211858;0.003125;63;España
-16.56138932;28.02899358;0.00625;1;España
-16.59263932;28.03524358;0.025;2;España
-16.56763932;28.03524358;0.025;8;España
-16.64263932;28.06024358;0.05;39;España
-16.59263932;28.06024358;0.05;45;España
-16.54263932;28.04149358;0.003125;26;España
-16.53951432;28.04149358;0.003125;24;España
-16.54263932;28.04461858;0.003125;10;España
-16.53951432;28.04461858;0.003125;66;España
-16.53638932;28.04149358;0.00625;72;España
-16.54263932;28.04774358;0.00625;25;España
-16.53638932;28.04774358;0.00625;76;España
-16.53013932;28.04774358;0.0125;24;España
-16.54263932;28.06024358;0.05;2;España
-16.49263932;28.06024358;0.05;9;España
-15.74263932;28.01024358;0.05;4;España
-15.69263932;28.01024358;0.05;20;España
-15.74263932;28.06024358;0.05;58;España
-15.69263932;28.06024358;0.05;29;España
-15.64263932;28.01024358;0.1;82;España
-15.54263932;28.01024358;0.05;36;España
-15.49263932;28.01024358;0.05;42;España
-15.54263932;28.06024358;0.05;16;España
-15.49263932;28.06024358;0.05;20;España
-15.44263932;28.01024358;0.05;12;España
-15.39263932;28.01024358;0.05;1;España
-15.44263932;28.06024358;0.05;94;España
-14.44263932;28.01024358;0.1;90;España
-14.34263932;28.01024358;0.1;97;España
-17.34263932;28.11024358;0.1;74;España
-17.24263932;28.11024358;0.05;21;España
-17.19263932;28.11024358;0.05;8;España
-17.24263932;28.16024358;0.05;43;España
-17.19263932;28.16024358;0.05;38;España
-17.14263932;28.11024358;0.1;1;España
-16.84263932;28.11024358;0.05;4;España
-16.77388932;28.11024358;0.00625;1;España
-16.78013932;28.11649358;0.00625;84;España
-16.77388932;28.11649358;0.00625;66;España
-16.79263932;28.12274358;0.0125;82;España
-16.78013932;28.12274358;0.00625;44;España
-16.77388932;28.12274358;0.00625;52;España
-16.78013932;28.12899358;0.00625;33;España
-16.77388932;28.12899358;0.00625;10;España
-16.76763932;28.11024358;0.025;29;España
-16.79263932;28.13524358;0.025;6;España
-16.76763932;28.13524358;0.025;50;España
-16.84263932;28.16024358;0.05;97;España
-16.79263932;28.16024358;0.05;42;España
-16.74263932;28.11024358;0.1;68;España
-16.64263932;28.11024358;0.1;31;España
-16.54263932;28.11024358;0.1;67;España
-16.44263932;28.11024358;0.1;83;España
-15.74263932;28.11024358;0.1;61;España
-15.64263932;28.11024358;0.1;36;España
-15.54263932;28.11024358;0.1;74;España
-15.44263932;28.11024358;0.0125;6;España
-15.43013932;28.11024358;0.0125;22;España
-15.44263932;28.12274358;0.0125;72;España
-15.43013932;28.12274358;0.0125;5;España
-15.41763932;28.11024358;0.025;2;España
-15.44263932;28.13524358;0.00625;77;España
-15.43638932;28.13524358;0.003125;21;España
-15.43326432;28.13524358;0.003125;13;España
-15.43638932;28.13836858;0.0015625;53;España
-15.43482682;28.13836858;0.0015625;20;España
-15.43638932;28.13993108;0.0015625;9;España
-15.43482682;28.13993108;0.0015625;60;España
-15.43326432;28.13836858;0.003125;48;España
-15.43638932;28.14149358;0.003125;20;España
-15.43326432;28.14149358;0.003125;82;España
-15.43326432;28.14461858;0.003125;26;España
-15.43013932;28.13524358;0.0125;29;España
-15.44263932;28.14774358;0.0125;48;España
-15.43013932;28.14774358;0.0125;63;España
-15.44263932;28.16024358;0.05;2;España
-14.34263932;28.11024358;0.1;49;España
-14.24263932;28.11024358;0.05;68;España
-14.24263932;28.16024358;0.05;85;España
-14.19263932;28.16024358;0.05;43;España
-14.14263932;28.11024358;0.1;42;España
-14.04263932;28.11024358;0.1;20;España
-16.94263932;28.21024358;0.1;11;España
-16.84263932;28.21024358;0.0125;6;España
-16.83013932;28.21024358;0.0125;3;España
-16.84263932;28.22274358;0.00625;55;España
-16.83638932;28.22274358;0.00625;2;España
-16.84263932;28.22899358;0.003125;37;España
-16.83951432;28.22899358;0.003125;30;España
-16.84263932;28.23211858;0.003125;30;España
-16.83951432;28.23211858;0.003125;3;España
-16.83638932;28.22899358;0.00625;25;España
-16.81763932;28.21024358;0.025;2;España
-16.84263932;28.23524358;0.003125;58;España
-16.84263932;28.23836858;0.003125;30;España
-16.83951432;28.23836858;0.003125;11;España
-16.83638932;28.23524358;0.00625;10;España
-16.84263932;28.24149358;0.00625;78;España
-16.83013932;28.23524358;0.0125;6;España
-16.84263932;28.24774358;0.0125;13;España
-16.83013932;28.24774358;0.0125;1;España
-16.81763932;28.23524358;0.025;14;España
-16.79263932;28.21024358;0.05;5;España
-16.84263932;28.26024358;0.05;16;España
-16.64263932;28.21024358;0.1;3;España
-16.54263932;28.21024358;0.1;15;España
-16.44263932;28.21024358;0.1;69;España
-14.24263932;28.21024358;0.1;25;España
-14.14263932;28.21024358;0.1;19;España
